"Date","Open","High","Low","Close","TotalVolume"
2017/4/12,190.50,191.50,190.00,191.00,17283
2017/4/13,189.50,192.00,189.50,191.50,14771
2017/4/14,189.50,189.50,188.00,189.00,30701
2017/4/17,189.00,189.00,187.50,187.50,17096
2017/4/18,188.00,189.50,187.50,188.00,25063
2017/4/19,187.50,187.50,186.50,186.50,30477
2017/4/20,186.50,188.00,186.50,187.00,21488
2017/4/21,187.50,190.00,187.50,190.00,17373
2017/4/24,191.00,191.50,188.50,190.00,19317
2017/4/25,190.50,192.00,189.50,192.00,31932
2017/4/26,192.00,192.00,190.50,191.00,29909
2017/4/27,192.00,193.00,190.50,193.00,27940
2017/4/28,193.50,194.50,193.00,194.50,34852
2017/5/2,198.50,199.00,195.50,196.50,44119
2017/5/3,198.00,198.50,197.00,198.00,25723
2017/5/4,198.50,199.00,197.00,198.00,22088
2017/5/5,197.00,198.50,197.00,197.50,17036
2017/5/8,199.00,202.50,199.00,202.50,36538
2017/5/9,205.50,207.00,203.50,203.50,48077
2017/5/10,204.00,206.00,204.00,205.50,28312
2017/5/11,204.50,208.50,204.00,207.50,43718
2017/5/12,205.00,207.00,205.00,206.00,25009
2017/5/15,204.00,206.00,204.00,206.00,25666
2017/5/16,205.00,205.00,203.50,204.50,33224
2017/5/17,203.00,204.00,203.00,204.00,21567
2017/5/18,202.50,204.00,201.50,203.50,22461
2017/5/19,203.50,204.50,202.50,203.00,16492
2017/5/22,203.50,205.00,203.00,205.00,13726
2017/5/23,205.00,207.00,204.50,205.00,19991
2017/5/24,205.00,206.00,205.00,205.50,13380
2017/5/25,206.00,207.00,205.50,207.00,22328
2017/5/26,205.00,207.00,205.00,207.00,32514
2017/5/31,206.50,207.00,203.00,203.00,67475
2017/6/1,205.00,207.00,204.50,207.00,27589
2017/6/2,208.50,209.00,207.50,209.00,22573
2017/6/3,209.00,209.00,208.00,209.00,1510
2017/6/5,209.50,212.00,209.00,212.00,21487
2017/6/6,210.50,211.50,210.50,210.50,14912
2017/6/7,212.00,212.50,210.00,211.50,29514
2017/6/8,212.00,213.00,211.50,213.00,18437
2017/6/9,214.50,215.00,212.00,212.00,31774
2017/6/12,207.00,210.00,207.00,207.50,58256
2017/6/13,207.00,208.50,206.50,208.00,43566
2017/6/14,208.50,209.50,206.00,207.00,36293
2017/6/15,207.50,208.00,207.00,208.00,17748
2017/6/16,207.50,212.00,207.00,211.50,32816
2017/6/19,211.00,213.00,210.50,213.00,15632
2017/6/20,215.00,218.00,214.50,216.50,28630
